Start Time,End Time,Activity
2020-11-19 20:48:54,2020-11-20 07:50:16,3
2020-11-20 07:51:10,2020-11-20 09:08:00,3
2020-11-20 09:08:00,2020-11-20 10:08:00,3
2020-11-20 10:08:00,2020-11-20 15:38:21,3
2020-11-20 15:42:08,2020-11-20 17:35:33,3
2020-11-20 17:35:33,2020-11-20 17:39:58,7
2020-11-20 17:44:30,2020-11-20 18:01:30,0
2020-11-20 18:01:30,2020-11-20 18:04:11,7
2020-11-20 18:04:11,2020-11-20 18:12:48,3
2020-11-20 18:12:48,2020-11-20 18:13:06,7
2020-11-20 18:13:06,2020-11-20 18:13:56,7
2020-11-20 18:13:56,2020-11-20 20:12:42,3
2020-11-20 20:12:42,2020-11-20 20:13:04,7
2020-11-20 20:13:04,2020-11-20 20:15:00,7
2020-11-20 20:15:00,2020-11-20 20:29:03,3
2020-11-20 20:29:03,2020-11-20 20:31:45,7
2020-11-20 20:31:45,2020-11-20 20:54:11,0
2020-11-20 20:54:11,2020-11-20 20:55:21,7
2020-11-20 20:55:21,2020-11-20 23:16:03,3
2020-11-20 23:16:42,2020-11-20 23:19:21,3
2020-11-20 23:19:21,2020-11-20 23:19:49,7
2020-11-20 23:19:49,2020-11-20 23:21:16,7
2020-11-20 23:21:16,2020-11-20 23:21:24,7
2020-11-20 23:21:24,2020-11-20 23:23:41,3
2020-11-20 23:23:41,2020-11-20 23:49:01,0
2020-11-20 23:49:01,2020-11-20 23:54:34,7
2020-11-20 23:54:34,2020-11-21 12:43:21,3
2020-11-21 12:44:04,2020-11-21 13:08:01,3
2020-11-21 13:08:01,2020-11-21 13:10:01,7
2020-11-21 13:10:01,2020-11-21 13:12:32,3
2020-11-21 13:12:32,2020-11-21 13:26:49,0
2020-11-21 13:26:49,2020-11-21 13:30:15,7
2020-11-21 13:30:15,2020-11-21 13:32:47,3
2020-11-21 13:32:47,2020-11-21 14:52:54,0
2020-11-21 14:52:54,2020-11-21 14:57:23,7
2020-11-21 14:57:23,2020-11-21 18:13:37,3
2020-11-21 18:13:37,2020-11-21 18:15:13,7
2020-11-21 18:17:12,2020-11-21 18:18:02,7
2020-11-21 18:18:02,2020-11-21 18:19:22,7
2020-11-21 18:19:22,2020-11-21 19:42:36,0
2020-11-21 19:42:36,2020-11-21 19:44:27,7
2020-11-21 19:44:27,2020-11-21 20:15:52,0
2020-11-21 20:20:47,2020-11-21 20:29:24,3
